2020-08-04 07:54:07,049 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="248bb0b16c5f68ab2c49e1b4822fce03")>
2020-08-04 07:54:07,050 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 07:54:07,258 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 07:54:07,408 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 07:54:09,954 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 07:54:09,999 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 07:54:10,051 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 07:54:12,336 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 07:54:12,336 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 07:54:14,495 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="248bb0b16c5f68ab2c49e1b4822fce03")>
2020-08-04 07:54:14,589 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 07:54:14,591 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
2020-08-04 07:54:17,551 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='内容审核']") 元素执行点击操作！
2020-08-04 07:54:17,552 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='内容审核']")
2020-08-04 07:54:19,832 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 文章名称']")
2020-08-04 07:54:19,866 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行清空操作！
2020-08-04 07:54:19,904 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 文章名称']") 元素执行输入:test002 操作！
2020-08-04 07:54:22,153 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[placeholder='请输入: 频道']")
2020-08-04 07:54:22,171 INFO [base.py(base_input:42)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行清空操作！
2020-08-04 07:54:22,297 INFO [base.py(base_input:45)] - 正在对：('css selector', "[placeholder='请输入: 频道']") 元素执行输入:数据库 操作！
2020-08-04 07:54:24,406 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 07:54:24,406 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 07:54:26,543 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='待审核']") 元素执行点击操作！
2020-08-04 07:54:26,543 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='待审核']")
2020-08-04 07:54:28,657 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 07:54:28,657 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 07:54:30,717 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 07:54:30,767 INFO [base.py(base_get_text:65)] - 正在对：('css selector', '.cell>span') 元素获取文本操作！，获取的文本值：1289872910483193856
2020-08-04 07:54:30,768 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.cell>span')
2020-08-04 07:54:32,794 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='通过']/..") 元素执行点击操作！
2020-08-04 07:54:32,794 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='通过']/..")
2020-08-04 07:54:33,907 INFO [base.py(base_click:55)] - 正在对：('css selector', '.el-button--primary') 元素执行点击操作！
2020-08-04 07:54:33,907 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.el-button--primary')
2020-08-04 07:54:36,999 INFO [base.py(base_click:55)] - 正在对：('css selector', '[placeholder=请选择状态]') 元素执行点击操作！
2020-08-04 07:54:37,000 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '[placeholder=请选择状态]')
2020-08-04 07:54:39,123 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='审核通过']") 元素执行点击操作！
2020-08-04 07:54:39,123 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='审核通过']")
2020-08-04 07:54:39,279 INFO [base.py(base_click:55)] - 正在对：('css selector', '.find') 元素执行点击操作！
2020-08-04 07:54:39,280 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '.find')
2020-08-04 07:56:33,970 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="8816e2ad520afe7efeed1fe7db649a58")>
2020-08-04 07:56:33,971 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='username']")
2020-08-04 07:56:33,987 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='username']") 元素执行清空操作！
2020-08-04 07:56:34,027 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='username']") 元素执行输入:testid 操作！
2020-08-04 07:56:36,101 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', "[name='password']")
2020-08-04 07:56:36,145 INFO [base.py(base_input:42)] - 正在对：('css selector', "[name='password']") 元素执行清空操作！
2020-08-04 07:56:36,197 INFO [base.py(base_input:45)] - 正在对：('css selector', "[name='password']") 元素执行输入:testpwd123 操作！
2020-08-04 07:56:38,304 INFO [base.py(base_click:55)] - 正在对：('css selector', '#inp1') 元素执行点击操作！
2020-08-04 07:56:38,305 INFO [base.py(base_find:29)] - 正在查找元素：('css selector', '#inp1')
2020-08-04 07:56:40,400 INFO [base.py(__init__:17)] - 正在初始化driver: <selenium.webdriver.chrome.webdriver.WebDriver (session="8816e2ad520afe7efeed1fe7db649a58")>
2020-08-04 07:56:40,407 INFO [base.py(base_click:55)] - 正在对：('xpath', "//*[text()='信息管理']") 元素执行点击操作！
2020-08-04 07:56:40,407 INFO [base.py(base_find:29)] - 正在查找元素：('xpath', "//*[text()='信息管理']")
